ts,record_id,user_authority,user,direction,base_asset_amount,quote_asset_amount,mark_price_before,mark_price_after,fee,referrer_reward,referee_discount,token_discount,liquidation,market_index,oracle_price
2022-02-06 19:32:05-05:00,3160000,FgxTXM14VNSQAP42SUsikZedphCcvvjZXNKgneXtDnXW,9J7RrTQY7jjtdbF8xfraYtbjJvRk8D2x3ADVu3NyBWWd,PositionDirection.Long(),11182452546536898,1126052563,10068421459,10071213726,1126052,0,0,0,False,10,10072220847
2022-02-06 19:32:06-05:00,3160001,AnsdDByYT8ZF1gUtB9wbdDM9aPb4pbe5msnhJSMcyyPP,268YXLhoGGQfZcEqcM3bCQCf31vopnt2JybPxa36aMNP,PositionDirection.Long(),21599111962100861,2175875460,10071213726,10076610331,2175875,0,0,0,False,10,10092923600
2022-02-06 19:32:06-05:00,3160002,BbjJgdGNyEZ3xfCCZVMQwKwpjA4AxPC9fAuAxdqiH7CG,88WGF4Y4GF1VYpv8zRJZdxmmSAwrqAZrdbo7KnAD4dU9,PositionDirection.Long(),8513868966182778,858000000,10076610331,10078738739,858000,0,0,0,False,10,10092638800
2022-02-06 19:32:09-05:00,3160003,AnsdDByYT8ZF1gUtB9wbdDM9aPb4pbe5msnhJSMcyyPP,268YXLhoGGQfZcEqcM3bCQCf31vopnt2JybPxa36aMNP,PositionDirection.Long(),4948155128368172,498742239,10078738739,10079976054,498742,0,0,0,False,10,10095054900
2022-02-06 19:32:13-05:00,3160004,F3Nz5HGh6FnkWkCSYQWAisNFPjAf4KRwgupntKqLm6of,4GeoUBegHSXKs7Mz2didirXhK28d2zp9K78JnPcLEXaX,PositionDirection.Long(),499999999968,2092537312,418451566070293,418563366248898,2092537,0,0,0,False,1,418605222585522
2022-02-06 19:32:13-05:00,3160005,FgxTXM14VNSQAP42SUsikZedphCcvvjZXNKgneXtDnXW,9J7RrTQY7jjtdbF8xfraYtbjJvRk8D2x3ADVu3NyBWWd,PositionDirection.Long(),188827168974259,19033778,10079976054,10080023275,19033,0,0,0,False,10,10098359400
2022-02-06 19:32:17-05:00,3160006,F3Nz5HGh6FnkWkCSYQWAisNFPjAf4KRwgupntKqLm6of,4GeoUBegHSXKs7Mz2didirXhK28d2zp9K78JnPcLEXaX,PositionDirection.Long(),500692578053,2095996078,418563366248898,418675366192829,2095996,0,0,0,False,1,418587170000000
2022-02-06 19:32:19-05:00,3160007,AnsdDByYT8ZF1gUtB9wbdDM9aPb4pbe5msnhJSMcyyPP,268YXLhoGGQfZcEqcM3bCQCf31vopnt2JybPxa36aMNP,PositionDirection.Long(),328953116332667,33158686,10080023275,10080105541,33158,0,0,0,False,10,10087265500
2022-02-06 19:32:25-05:00,3160008,4CLaLrTr7juGATt6FAaw8JksSNGdTEGaA78otYJbdHDs,DRKUb36Rh99NQ4CCEsZSBBfspz2vdNwM1qPY6P2jNrbu,PositionDirection.Short(),330014434735930,1816000000,550329747779,550228177322,1816000,0,0,0,False,3,550062625000
2022-02-06 19:32:25-05:00,3160009,4CLaLrTr7juGATt6FAaw8JksSNGdTEGaA78otYJbdHDs,DRKUb36Rh99NQ4CCEsZSBBfspz2vdNwM1qPY6P2jNrbu,PositionDirection.Short(),109985799680566,863000000,784684512575,784608984414,863000,0,0,0,False,4,784530523516
2022-02-06 19:32:25-05:00,3160010,4CLaLrTr7juGATt6FAaw8JksSNGdTEGaA78otYJbdHDs,DRKUb36Rh99NQ4CCEsZSBBfspz2vdNwM1qPY6P2jNrbu,PositionDirection.Short(),390069749697758,3060000000,784608984414,784341208179,3060000,0,0,0,False,4,784262774059
2022-02-06 19:32:25-05:00,3160011,CmK69Pq5GuvfTstgb3DMo91aakRcWitxdLr4TUMj89Vq,5MZF9spfQyBngafe6bJAZ68dSaJDmVeFW3anmVimssyk,PositionDirection.Short(),18271512587276,100534497,550228177322,550222554614,100534,0,0,0,False,3,550062625000
2022-02-06 19:32:26-05:00,3160012,dsXDNhsw5LHYoaFivThPKZZkpgw4MBfv7PYAy5Dmdyb,Cy8FP7bE9YT9nD65GTVtaCNT7xHRaSnjiHxVuusb6dFR,PositionDirection.Short(),146622303382139,316000000,215527592322,215511878373,316000,0,0,0,False,8,215504707000
2022-02-06 19:32:26-05:00,3160013,AcrAf5aJmJBxsSYGywSucEXU5Lw7xz1bxqHG2RiBNuqX,8bNgszva9WwD8JzcFezPj2hWvHNNAfdNoncAuEsgvSXT,PositionDirection.Short(),179555644678012,1408218288,784341208179,784217992362,1408218,0,0,0,False,4,784139570563
2022-02-06 19:32:30-05:00,3160014,BbjJgdGNyEZ3xfCCZVMQwKwpjA4AxPC9fAuAxdqiH7CG,88WGF4Y4GF1VYpv8zRJZdxmmSAwrqAZrdbo7KnAD4dU9,PositionDirection.Short(),8532559733498450,860000000,10080105541,10077972027,860000,0,0,0,False,10,10084360800
2022-02-06 19:32:30-05:00,3160015,dsXDNhsw5LHYoaFivThPKZZkpgw4MBfv7PYAy5Dmdyb,Cy8FP7bE9YT9nD65GTVtaCNT7xHRaSnjiHxVuusb6dFR,PositionDirection.Short(),340979958114137,1049000000,307668193305,307617238365,1049000,0,0,0,False,7,307071235000
